source_id,source_name,source_type,relation,target_id,target_name,target_type,weight
CAU_00688,火烁肺金,CAU,CAUSES,SYM_03421,咳嗽,SYM,1
CAU_01037,脾弱,CAU,CAUSES,SYM_04892,痰浊内生,SYM,1
CAU_00043,肺虚,CAU,CAUSES,SYM_04892,痰浊内生,SYM,1
CAU_00224,脾胃气虚,CAU,CAUSES,SYM_07035,纳运无力,SYM,1
CAU_01189,霍乱,CAU,CAUSES,SYM_03409,头痛,SYM,1
CAU_01189,霍乱,CAU,CAUSES,SYM_03407,发热,SYM,1
CAU_00053,伤寒,CAU,CAUSES,SYM_03409,头痛,SYM,1
CAU_00053,伤寒,CAU,CAUSES,SYM_03407,发热,SYM,2
CAU_00272,气机郁滞,CAU,CAUSES,SYM_07595,虫石阻塞胆道,SYM,1
CAU_00053,伤寒,CAU,CAUSES,SYM_06134,当汗不汗,SYM,1
CAU_00064,脾失健运,CAU,CAUSES,SYM_04891,痰浊中阻,SYM,2
CAU_00237,风燥,CAU,CAUSES,SYM_05914,大便结燥,SYM,1
CAU_01223,风疟,CAU,CAUSES,SYM_05854,夏暑汗不出,SYM,1
CAU_00092,脾胃虚弱,CAU,CAUSES,SYM_04399,舌苔薄腻,SYM,1
CAU_00092,脾胃虚弱,CAU,CAUSES,SYM_03534,水肿,SYM,1
CAU_00092,脾胃虚弱,CAU,CAUSES,SYM_03515,浮肿,SYM,1
CAU_00092,脾胃虚弱,CAU,CAUSES,SYM_07330,脉软弱,SYM,1
CAU_00092,脾胃虚弱,CAU,CAUSES,SYM_05269,下肢肿胀,SYM,1
CAU_00092,脾胃虚弱,CAU,CAUSES,SYM_05902,大便如常或溏,SYM,1
CAU_00639,浊阴难降,CAU,CAUSES,SYM_03470,小便不利,SYM,1
CAU_00371,脾气下陷,CAU,CAUSES,SYM_03470,小便不利,SYM,1
CAU_00420,中气虚弱,CAU,CAUSES,SYM_03470,小便不利,SYM,1
CAU_00058,虚寒,CAU,CAUSES,SYM_05582,口苦骨疼,SYM,1
CAU_00412,食积,CAU,CAUSES,SYM_07370,脘痛,SYM,1
CAU_00412,食积,CAU,CAUSES,SYM_05595,右关脉滑,SYM,1
CAU_00412,食积,CAU,CAUSES,SYM_04050,便闭,SYM,1
CAU_00412,食积,CAU,CAUSES,SYM_03936,舌黄,SYM,1
CAU_00412,食积,CAU,CAUSES,SYM_03407,发热,SYM,1
CAU_00412,食积,CAU,CAUSES,SYM_03424,恶寒,SYM,1
CAU_00652,温邪时毒,CAU,CAUSES,SYM_03483,无汗,SYM,1
CAU_00652,温邪时毒,CAU,CAUSES,SYM_03424,恶寒,SYM,1
CAU_00652,温邪时毒,CAU,CAUSES,SYM_03409,头痛,SYM,1
CAU_00652,温邪时毒,CAU,CAUSES,SYM_03407,发热,SYM,1
CAU_01127,邪在心胞,CAU,CAUSES,SYM_04017,舌绛焦黑,SYM,1
CAU_01127,邪在心胞,CAU,CAUSES,SYM_04114,斑紫,SYM,1
CAU_01127,邪在心胞,CAU,CAUSES,SYM_06365,昏谵妄笑,SYM,1
CAU_01127,邪在心胞,CAU,CAUSES,SYM_07305,脉促,SYM,1
CAU_01172,阴液元气两伤,CAU,CAUSES,SYM_05203,食不甘,SYM,1
CAU_01172,阴液元气两伤,CAU,CAUSES,SYM_03997,神识不清,SYM,1
CAU_01172,阴液元气两伤,CAU,CAUSES,SYM_04684,寝不安,SYM,1
CAU_00676,湿郁中焦,CAU,CAUSES,SYM_03574,脉洪,SYM,1
CAU_00676,湿郁中焦,CAU,CAUSES,SYM_03447,面赤,SYM,1
CAU_00676,湿郁中焦,CAU,CAUSES,SYM_03424,恶寒,SYM,1
CAU_00386,虚风内动,CAU,CAUSES,SYM_03807,痰浊,SYM,1
CAU_00570,暑热余邪不清,CAU,CAUSES,SYM_03807,痰浊,SYM,1
CAU_00620,气阴亏损,CAU,CAUSES,SYM_03807,痰浊,SYM,1
CAU_00780,秽湿着里,CAU,CAUSES,SYM_03936,舌黄,SYM,1
CAU_01142,邪灼心胞,CAU,CAUSES,SYM_03613,谵语,SYM,1
CAU_00413,黄疸,CAU,CAUSES,SYM_05028,胆汁泛溢,SYM,1
CAU_00413,黄疸,CAU,CAUSES,SYM_03589,大便稀溏,SYM,1
CAU_00116,脾阳不振,CAU,CAUSES,SYM_05028,胆汁泛溢,SYM,1
CAU_00116,脾阳不振,CAU,CAUSES,SYM_03589,大便稀溏,SYM,1
CAU_00429,伏邪不解,CAU,CAUSES,SYM_03419,烦躁,SYM,1
CAU_00779,积劳内虚,CAU,CAUSES,SYM_03419,烦躁,SYM,1
