id,in_degree,out_degree,name,type,degree,strength
CAU_00053,0,2,伤寒,CAU,2,4
SYM_03407,89,0,发热,SYM,89,368
CAU_00064,0,4,脾失健运,CAU,4,8
SYM_04891,1,0,痰浊中阻,SYM,1,2
SYM_03424,20,0,恶寒,SYM,20,81
CAU_00020,0,18,气滞血瘀,CAU,18,46
SYM_03426,82,0,胸闷,SYM,82,292
SYM_03453,19,0,瘀斑,SYM,19,72
SYM_03564,2,0,瘀血,SYM,2,5
CAU_00099,0,5,肝阳上亢,CAU,5,12
SYM_03425,39,0,头晕,SYM,39,155
CAU_00103,0,5,阴血亏虚,CAU,5,11
SYM_03430,37,0,耳鸣,SYM,37,128
CAU_00068,0,9,肝肾阴虚,CAU,9,23
CAU_00025,0,11,气血两虚,CAU,11,25
SYM_03413,46,0,舌淡,SYM,46,266
SYM_03578,6,0,不思饮食,SYM,6,13
CAU_00073,0,12,阴虚内热,CAU,12,29
SYM_03524,7,0,脉细数,SYM,7,23
CAU_00139,0,9,脾虚湿蕴,CAU,9,20
SYM_03496,11,0,大便溏薄,SYM,11,40
SYM_04379,1,0,脓疱稀疏,SYM,1,2
CAU_00150,0,1,湿热内生,CAU,1,2
SYM_03822,3,0,饮食不节,SYM,3,6
CAU_00406,0,1,风湿蕴肤,CAU,1,2
SYM_04341,2,0,皮损呈淡褐色片状,SYM,2,4
CAU_00018,0,9,血虚,CAU,9,21
CAU_00084,0,6,湿热蕴结,CAU,6,13
SYM_03727,5,0,关节痛,SYM,5,10
SYM_03530,6,0,尿黄,SYM,6,19
SYM_04342,1,0,皮损鲜红,SYM,1,2
SYM_03812,1,0,脉沉细,SYM,1,2
SYM_03409,97,0,头痛,SYM,97,351
SYM_03856,2,0,胸胁疼痛,SYM,2,4
CAU_00048,0,12,肝肾不足,CAU,12,30
SYM_03433,27,0,腰膝酸软,SYM,27,134
SYM_04659,1,0,头发焦黄或花白,SYM,1,2
CAU_00254,0,2,寒湿入络,CAU,2,4
SYM_04253,2,0,大便不干,SYM,2,4
CAU_00036,0,20,热毒炽盛,CAU,20,54
SYM_03410,98,0,口渴,SYM,98,425
SYM_03464,23,0,小便短赤,SYM,23,62
SYM_03462,47,0,抽搐,SYM,47,117
SYM_03477,68,0,大便干结,SYM,68,196
SYM_03419,29,0,烦躁,SYM,29,136
SYM_03574,6,0,脉洪,SYM,6,13
SYM_03465,16,0,手足心热,SYM,16,68
SYM_03418,40,0,心烦,SYM,40,180
