id,source_term,type,pinyin,label,curated_gloss
CAU_00000,脉弦,CAU,Maixian,Wiry pulse,True
CAU_00001,脉细数,CAU,Maixishu,Fine rapid pulse,True
CAU_00002,脉沉细,CAU,Maichenxi,Deep fine pulse,True
CAU_00003,脉滑数,CAU,Maihuashu,Slippery rapid pulse,True
CAU_00004,脉弦数,CAU,Maixianshu,Wiry rapid pulse,True
CAU_00005,脉细,CAU,Maixi,Fine pulse,True
CAU_00006,脉沉,CAU,Maichen,Deep pulse,True
CAU_00007,脉数,CAU,Maishu,Rapid pulse,True
CAU_00008,脉浮,CAU,Maifu,Floating pulse,True
CAU_00009,气虚,CAU,Qixu,Qi deficiency,True
CAU_00010,脉细弱,CAU,Maixiruo,Maixiruo,False
CAU_00011,脉濡,CAU,Mairu,Mairu,False
CAU_00012,阴虚,CAU,Yinxu,Yinxu,False
CAU_00013,湿热,CAU,Shire,Shire,False
CAU_00014,脉滑,CAU,Maihua,Maihua,False
CAU_00015,脾虚,CAU,Pixu,Pixu,False
CAU_00016,风寒,CAU,Fenghan,Fenghan,False
CAU_00017,无力,CAU,Wuli,Wuli,False
CAU_00018,血虚,CAU,Xuexu,Xuexu,False
CAU_00019,脉弦滑,CAU,Maixianhua,Maixianhua,False
CAU_00020,气滞血瘀,CAU,Qizhixueyu,Qizhixueyu,False
CAU_00021,脉弱,CAU,Mairuo,Mairuo,False
CAU_00022,脉洪数,CAU,Maihongshu,Maihongshu,False
CAU_00023,烦躁,CAU,Fanzao,Fanzao,False
CAU_00024,阳虚,CAU,Yangxu,Yangxu,False
CAU_00025,气血两虚,CAU,Qixueliangxu,Qixueliangxu,False
CAU_00026,血瘀,CAU,Xueyu,Xueyu,False
CAU_00027,风热,CAU,Fengre,Fengre,False
CAU_00028,肾虚,CAU,Shenxu,Shenxu,False
CAU_00029,肾阴虚,CAU,Shenyinxu,Shenyinxu,False
CAU_00030,脉细涩,CAU,Maixise,Maixise,False
CAU_00031,胃热,CAU,Weire,Weire,False
CAU_00032,脉缓,CAU,Maihuan,Maihuan,False
CAU_00033,数,CAU,Shu,Shu,False
CAU_00034,脾肾,CAU,Pishen,Pishen,False
CAU_00035,不安,CAU,Buan,Buan,False
CAU_00036,热毒炽盛,CAU,Reduchisheng,Reduchisheng,False
CAU_00037,神疲,CAU,Shenpi,Shenpi,False
CAU_00038,脉涩,CAU,Maise,Maise,False
CAU_00039,脉细弦,CAU,Maixixian,Maixixian,False
CAU_00040,胃虚,CAU,Weixu,Weixu,False
CAU_00041,脉虚,CAU,Maixu,Maixu,False
CAU_00042,细涩,CAU,Xise,Xise,False
CAU_00043,肺虚,CAU,Feixu,Lung deficiency,True
CAU_00044,内热,CAU,Neire,Neire,False
CAU_00045,热毒,CAU,Redu,Redu,False
CAU_00046,缓,CAU,Huan,Huan,False
CAU_00047,脉浮数,CAU,Maifushu,Maifushu,False
CAU_00048,肝肾不足,CAU,Ganshenbuzu,Ganshenbuzu,False
CAU_00049,肺热,CAU,Feire,Feire,False
CAU_00050,脉弦细,CAU,Maixianxi,Maixianxi,False
CAU_00051,脉沉细无力,CAU,Maichenxiwuli,Maichenxiwuli,False
CAU_00052,结代,CAU,Jiedai,Jiedai,False
CAU_00053,伤寒,CAU,Shanghan,Cold damage,True
CAU_00054,气逆,CAU,Qini,Qini,False
CAU_00055,湿热下注,CAU,Shirexiazhu,Shirexiazhu,False
CAU_00056,脉滑实,CAU,Maihuashi,Maihuashi,False
CAU_00057,脾气虚,CAU,Piqixu,Piqixu,False
CAU_00058,虚寒,CAU,Xuhan,Xuhan,False
CAU_00059,虚火上炎,CAU,Xuhuoshangyan,Xuhuoshangyan,False
CAU_00060,阴虚火旺,CAU,Yinxuhuowang,Yinxuhuowang,False
CAU_00061,内伤,CAU,Neishang,Neishang,False
CAU_00062,肝气郁结,CAU,Ganqiyujie,Ganqiyujie,False
CAU_00063,脉洪,CAU,Maihong,Maihong,False
CAU_00064,脾失健运,CAU,Pishijianyun,Spleen failing to transport,True
CAU_00065,气滞,CAU,Qizhi,Qizhi,False
CAU_00066,气血不足,CAU,Qixuebuzu,Qixuebuzu,False
CAU_00067,滑数,CAU,Huashu,Huashu,False
CAU_00068,肝肾阴虚,CAU,Ganshenyinxu,Ganshenyinxu,False
CAU_00069,肝郁,CAU,Ganyu,Ganyu,False
CAU_00070,脉弦涩,CAU,Maixianse,Maixianse,False
CAU_00071,脉虚弱,CAU,Maixuruo,Maixuruo,False
CAU_00072,虚热,CAU,Xure,Xure,False
CAU_00073,阴虚内热,CAU,Yinxuneire,Yinxuneire,False
CAU_00074,少阳,CAU,Shaoyang,Shaoyang,False
CAU_00075,弦细,CAU,Xianxi,Xianxi,False
CAU_00076,肾阴亏虚,CAU,Shenyinkuixu,Shenyinkuixu,False
CAU_00077,脉实,CAU,Maishi,Maishi,False
CAU_00078,脉弦紧,CAU,Maixianjin,Maixianjin,False
CAU_00079,脉微,CAU,Maiwei,Maiwei,False
CAU_00080,脉濡数,CAU,Mairushu,Mairushu,False
CAU_00081,脾肾阳虚,CAU,Pishenyangxu,Pishenyangxu,False
CAU_00082,四肢厥冷,CAU,Sizhijueleng,Sizhijueleng,False
CAU_00083,气血虚弱,CAU,Qixuexuruo,Qixuexuruo,False
CAU_00084,湿热蕴结,CAU,Shireyunjie,Shireyunjie,False
CAU_00085,痰瘀互结,CAU,Tanyuhujie,Tanyuhujie,False
CAU_00086,肝火,CAU,Ganhuo,Ganhuo,False
CAU_00087,肝郁气滞,CAU,Ganyuqizhi,Ganyuqizhi,False
CAU_00088,肾阴不足,CAU,Shenyinbuzu,Shenyinbuzu,False
CAU_00089,脉微欲绝,CAU,Maiweiyujue,Maiweiyujue,False
CAU_00090,脉濡缓,CAU,Mairuhuan,Mairuhuan,False
CAU_00091,脉细无力,CAU,Maixiwuli,Maixiwuli,False
CAU_00092,脾胃虚弱,CAU,Piweixuruo,Piweixuruo,False
CAU_00093,弦滑,CAU,Xianhua,Xianhua,False
CAU_00094,气血亏虚,CAU,Qixuekuixu,Qixuekuixu,False
CAU_00095,火盛,CAU,Huosheng,Huosheng,False
CAU_00096,痰湿,CAU,Tanshi,Tanshi,False
CAU_00097,神昏谵语,CAU,Shenhunzhanyu,Shenhunzhanyu,False
CAU_00098,肝旺,CAU,Ganwang,Ganwang,False
CAU_00099,肝阳上亢,CAU,Ganyangshangkang,Ganyangshangkang,False
CAU_00100,肾阳不足,CAU,Shenyangbuzu,Shenyangbuzu,False
CAU_00101,脉弦细数,CAU,Maixianxishu,Maixianxishu,False
CAU_00102,迫血妄行,CAU,Poxuewangxing,Poxuewangxing,False
CAU_00103,阴血亏虚,CAU,Yinxuekuixu,Yinxuekuixu,False
CAU_00104,弦数,CAU,Xianshu,Xianshu,False
CAU_00105,气血虚,CAU,Qixuexu,Qixuexu,False
CAU_00106,气阴两虚,CAU,Qiyinliangxu,Qiyinliangxu,False
CAU_00107,浮数,CAU,Fushu,Fushu,False
CAU_00108,肾气不足,CAU,Shenqibuzu,Shenqibuzu,False
CAU_00109,脉大,CAU,Maida,Maida,False
CAU_00110,脉沉紧,CAU,Maichenjin,Maichenjin,False
CAU_00111,脉沉细或涩,CAU,Maichenxihuose,Maichenxihuose,False
CAU_00112,脉洪大,CAU,Maihongda,Maihongda,False
CAU_00113,脉濡细,CAU,Mairuxi,Mairuxi,False
CAU_00114,脏躁,CAU,Zangzao,Zangzao,False
