id,in_degree,out_degree,name,type,degree,strength
CAU_00001,0,225,脉细数,CAU,225,1149
HER_01854,74,129,甘草,HER,203,856
EFF_01253,195,0,清热,EFF,195,1525
HER_01855,76,119,茯苓,HER,195,905
CAU_00002,0,185,脉沉细,CAU,185,950
CAU_00000,0,154,脉弦,CAU,154,672
CAU_00003,0,142,脉滑数,CAU,142,725
PRE_02480,0,135,苍术,PRE,135,747
CAU_00005,0,134,脉细,CAU,134,519
HER_01856,46,76,当归,HER,122,518
CAU_00004,0,119,脉弦数,CAU,119,524
HER_01858,45,71,黄芩,HER,116,413
EFF_01254,109,0,健脾,EFF,109,662
HER_01857,39,69,白术,HER,108,506
HER_01864,37,62,陈皮,HER,99,420
HER_01862,39,60,黄芪,HER,99,386
CAU_00011,0,98,脉濡,CAU,98,360
SYM_03410,98,0,口渴,SYM,98,425
EFF_01257,98,0,活血化瘀,EFF,98,544
SYM_03409,97,0,头痛,SYM,97,351
SYM_03444,95,0,大便秘结,SYM,95,379
EFF_01255,95,0,益气,EFF,95,560
CAU_00010,0,95,脉细弱,CAU,95,472
SYM_03429,92,0,腹胀,SYM,92,327
HER_01869,33,59,大黄,HER,92,322
CAU_00007,0,91,脉数,CAU,91,427
SYM_03408,90,0,舌红,SYM,90,425
HER_01860,32,57,白芍,HER,89,323
SYM_03407,89,0,发热,SYM,89,368
EFF_01258,88,0,清热解毒,EFF,88,382
HER_01873,31,56,泽泻,HER,87,302
CAU_00006,0,86,脉沉,CAU,86,314
EFF_01256,85,0,补肾,EFF,85,368
CAU_00014,0,84,脉滑,CAU,84,249
SYM_03449,84,0,便溏,SYM,84,287
HER_01861,35,48,黄连,HER,83,296
HER_01872,32,51,栀子,HER,83,309
HER_01885,28,55,牡丹皮,HER,83,289
HER_01859,24,58,柴胡,HER,82,335
HER_01866,31,51,川芎,HER,82,312
