objective,comparison,n_units,n_head_clusters,mrr_a,mrr_b,diff,ci_low_triple,ci_high_triple,ci_low_head_cluster,ci_high_head_cluster,cohens_d,p_raw_t,p_raw_wilcoxon,p_holm_t,p_holm_wilcoxon,sig_holm_0.05,effect
margin,TransE - DistMult,886,343,0.0942,0.0991,-0.0049,-0.0134,0.0033,-0.0145,0.0047,-0.038,2.64e-01,2.84e-01,5.28e-01,8.73e-01,False,none
margin,TransE - ComplEx,886,343,0.0942,0.0932,0.001,-0.0077,0.0092,-0.0095,0.0111,0.008,8.13e-01,9.66e-03,8.13e-01,4.83e-02,False,none
margin,TransE - RotatE,886,343,0.0942,0.0845,0.0097,0.0019,0.0175,0.0007,0.0184,0.082,1.53e-02,6.18e-03,7.66e-02,3.71e-02,False,negligible
margin,DistMult - ComplEx,886,343,0.0991,0.0932,0.0059,-0.0009,0.0126,-0.0012,0.0133,0.056,9.61e-02,2.18e-01,2.88e-01,8.73e-01,False,negligible
margin,DistMult - RotatE,886,343,0.0991,0.0845,0.0146,0.0064,0.0232,0.0054,0.024,0.114,7.35e-04,2.85e-01,4.41e-03,8.73e-01,True,negligible
margin,ComplEx - RotatE,886,343,0.0932,0.0845,0.0087,0.0007,0.0167,-0.0002,0.0182,0.071,3.57e-02,8.28e-01,1.43e-01,8.73e-01,False,negligible
logistic,TransE - DistMult,886,343,0.2577,0.1627,0.095,0.0821,0.108,0.079,0.1111,0.476,2.87e-41,4.56e-42,8.61e-41,1.37e-41,True,small
logistic,TransE - ComplEx,886,343,0.2577,0.1546,0.1031,0.0894,0.1173,0.0857,0.1213,0.495,3.69e-44,1.05e-43,1.48e-43,4.21e-43,True,small
logistic,TransE - RotatE,886,343,0.2577,0.2711,-0.0133,-0.0223,-0.0039,-0.0232,-0.0037,-0.096,4.31e-03,5.55e-03,8.63e-03,1.11e-02,True,negligible
logistic,DistMult - ComplEx,886,343,0.1627,0.1546,0.0081,-0.0006,0.0166,-0.0007,0.0168,0.061,6.94e-02,2.98e-02,6.94e-02,2.98e-02,False,negligible
logistic,DistMult - RotatE,886,343,0.1627,0.2711,-0.1083,-0.1222,-0.0947,-0.1246,-0.0922,-0.524,1.09e-48,6.40e-51,5.43e-48,3.20e-50,True,medium
logistic,ComplEx - RotatE,886,343,0.1546,0.2711,-0.1164,-0.1304,-0.1023,-0.1348,-0.0984,-0.542,1.40e-51,1.46e-54,8.38e-51,8.76e-54,True,medium
selfadv,TransE - DistMult,886,343,0.193,0.1859,0.0071,-0.0043,0.0187,-0.0064,0.0208,0.041,2.24e-01,6.22e-01,4.48e-01,8.64e-01,False,none
selfadv,TransE - ComplEx,886,343,0.193,0.1831,0.0098,-0.0009,0.0214,-0.0041,0.0246,0.057,8.82e-02,1.88e-01,2.64e-01,5.65e-01,False,negligible
selfadv,TransE - RotatE,886,343,0.193,0.2119,-0.0189,-0.0295,-0.0086,-0.029,-0.0087,-0.121,3.33e-04,3.08e-03,1.33e-03,1.23e-02,True,negligible
selfadv,DistMult - ComplEx,886,343,0.1859,0.1831,0.0028,-0.0055,0.011,-0.0059,0.0112,0.021,5.23e-01,4.32e-01,5.23e-01,8.64e-01,False,none
selfadv,DistMult - RotatE,886,343,0.1859,0.2119,-0.026,-0.0378,-0.0147,-0.0402,-0.0121,-0.147,1.33e-05,5.66e-05,6.64e-05,2.83e-04,True,negligible
selfadv,ComplEx - RotatE,886,343,0.1831,0.2119,-0.0288,-0.0402,-0.0177,-0.0428,-0.0143,-0.171,4.65e-07,3.54e-06,2.79e-06,2.13e-05,True,negligible
