objective,model,MRR_mean,MRR_sd,Hits10_mean,rank_60ep
margin,DistMult,0.0991,0.0097,0.217,1
margin,TransE,0.0942,0.0022,0.204,2
margin,ComplEx,0.0932,0.0072,0.209,3
margin,RotatE,0.0845,0.0055,0.195,4
logistic,RotatE,0.2711,0.0026,0.510,1
logistic,TransE,0.2577,0.0015,0.483,2
logistic,DistMult,0.1627,0.0144,0.349,3
logistic,ComplEx,0.1546,0.0184,0.341,4
selfadv,RotatE,0.2119,0.0141,0.440,1
selfadv,TransE,0.1930,0.0105,0.410,2
selfadv,DistMult,0.1859,0.0158,0.392,3
selfadv,ComplEx,0.1831,0.0140,0.392,4
