model,seed,epoch,valid_mrr
TransE,42,10,0.15155
TransE,42,20,0.17527
TransE,42,30,0.18397
TransE,42,40,0.18929
TransE,42,50,0.19233
TransE,42,60,0.18696
TransE,1337,10,0.15377
TransE,1337,20,0.17646
TransE,1337,30,0.18821
TransE,1337,40,0.18569
TransE,1337,50,0.18813
TransE,1337,60,0.20028
TransE,2024,10,0.14609
TransE,2024,20,0.17111
TransE,2024,30,0.18266
TransE,2024,40,0.17992
TransE,2024,50,0.19256
TransE,2024,60,0.19845
DistMult,42,10,0.10221
DistMult,42,20,0.1502
DistMult,42,30,0.17691
DistMult,42,40,0.17645
DistMult,42,50,0.18233
DistMult,42,60,0.18976
DistMult,1337,10,0.09927
DistMult,1337,20,0.14424
DistMult,1337,30,0.1645
DistMult,1337,40,0.17865
DistMult,1337,50,0.18289
DistMult,1337,60,0.18873
DistMult,2024,10,0.09298
DistMult,2024,20,0.14454
DistMult,2024,30,0.17121
DistMult,2024,40,0.18435
DistMult,2024,50,0.19079
DistMult,2024,60,0.18926
ComplEx,42,10,0.08164
ComplEx,42,20,0.14165
ComplEx,42,30,0.16083
ComplEx,42,40,0.162
ComplEx,42,50,0.17202
ComplEx,42,60,0.17507
ComplEx,1337,10,0.09274
ComplEx,1337,20,0.15031
ComplEx,1337,30,0.15819
ComplEx,1337,40,0.16852
ComplEx,1337,50,0.17911
ComplEx,1337,60,0.19257
ComplEx,2024,10,0.07779
ComplEx,2024,20,0.14357
ComplEx,2024,30,0.1595
ComplEx,2024,40,0.17515
ComplEx,2024,50,0.18015
ComplEx,2024,60,0.17906
RotatE,42,10,0.13852
RotatE,42,20,0.17962
RotatE,42,30,0.20131
RotatE,42,40,0.19389
RotatE,42,50,0.19918
RotatE,42,60,0.20812
RotatE,1337,10,0.12812
RotatE,1337,20,0.16739
RotatE,1337,30,0.1878
RotatE,1337,40,0.20999
RotatE,1337,50,0.20013
RotatE,1337,60,0.20302
RotatE,2024,10,0.13005
RotatE,2024,20,0.18638
RotatE,2024,30,0.20337
RotatE,2024,40,0.20246
RotatE,2024,50,0.19365
RotatE,2024,60,0.20707
