source_id,relation,target_id,weight,split
CAU_00053,CAUSES,SYM_03407,2,train
CAU_00064,CAUSES,SYM_04891,2,train
CAU_00053,CAUSES,SYM_03424,2,valid
CAU_00020,CAUSES,SYM_03426,5,train
CAU_00020,CAUSES,SYM_03453,3,test
CAU_00020,CAUSES,SYM_03564,3,train
CAU_00099,CAUSES,SYM_03425,2,train
CAU_00103,CAUSES,SYM_03430,2,train
CAU_00103,CAUSES,SYM_03425,2,train
CAU_00068,CAUSES,SYM_03430,4,train
CAU_00068,CAUSES,SYM_03425,5,train
CAU_00025,CAUSES,SYM_03413,4,train
CAU_00025,CAUSES,SYM_03578,2,train
CAU_00073,CAUSES,SYM_03524,4,train
CAU_00139,CAUSES,SYM_03496,2,train
CAU_00139,CAUSES,SYM_03413,3,train
CAU_00139,CAUSES,SYM_04379,2,train
CAU_00150,CAUSES,SYM_03822,2,train
CAU_00064,CAUSES,SYM_03822,2,train
CAU_00406,CAUSES,SYM_04341,2,train
CAU_00018,CAUSES,SYM_03413,4,train
CAU_00084,CAUSES,SYM_03727,2,train
CAU_00084,CAUSES,SYM_03530,2,train
CAU_00084,CAUSES,SYM_04342,2,train
CAU_00084,CAUSES,SYM_03407,2,train
CAU_00020,CAUSES,SYM_03812,2,train
CAU_00020,CAUSES,SYM_03409,3,train
CAU_00020,CAUSES,SYM_03856,2,train
CAU_00048,CAUSES,SYM_03430,2,train
CAU_00048,CAUSES,SYM_03413,6,train
CAU_00048,CAUSES,SYM_03433,4,train
CAU_00048,CAUSES,SYM_04659,2,train
CAU_00254,CAUSES,SYM_03727,2,train
CAU_00254,CAUSES,SYM_04253,2,train
CAU_00036,CAUSES,SYM_03410,7,train
CAU_00036,CAUSES,SYM_03464,2,train
CAU_00036,CAUSES,SYM_03462,2,train
CAU_00036,CAUSES,SYM_03477,2,train
CAU_00036,CAUSES,SYM_03419,4,train
CAU_00036,CAUSES,SYM_03574,2,valid
CAU_00048,CAUSES,SYM_03465,2,train
CAU_00048,CAUSES,SYM_03524,2,valid
