weight,edges,cumulative_pct
1,39022,80.348
2,5673,92.029
3,1704,95.538
4,806,97.198
5,416,98.054
6,246,98.561
7,161,98.892
8,109,99.117
9,72,99.265
10,64,99.397
11,51,99.502
12,32,99.568
13,33,99.636
14,24,99.685
15,18,99.722
16,14,99.751
17,16,99.784
18,9,99.802
19,9,99.821
20,7,99.835
21,7,99.85
22,11,99.872
23,5,99.883
24,7,99.897
25,5,99.907
26,6,99.92
27,8,99.936
28,4,99.944
29,1,99.946
30,3,99.953
31,1,99.955
32,2,99.959
33,1,99.961
34,1,99.963
35,3,99.969
37,6,99.981
38,4,99.99
39,1,99.992
41,1,99.994
49,1,99.996
50,1,99.998
55,1,100.0
